,Group
BeeP-11-2013_NODE_294_length_3930_cov_4_146379,Low coverage
BeeP-11-2013_NODE_295_length_3929_cov_11_536864,Low coverage
BeeP-11-2013_NODE_296_length_3903_cov_38_386566,Low coverage
BeeP-11-2013_NODE_299_length_3879_cov_8_830089,Low coverage
BeeP-11-2013_NODE_302_length_3867_cov_15_262269,Low coverage
BeeP-11-2013_NODE_304_length_3836_cov_27_430700,Low coverage
BeeP-11-2013_NODE_305_length_3828_cov_4_772594,Low coverage
BeeP-11-2013_NODE_306_length_3826_cov_25_738063,Low coverage
BeeP-11-2013_NODE_307_length_3826_cov_20_160843,Low coverage
BeeP-11-2013_NODE_309_length_3817_cov_17_722995,Low coverage
BeeP-11-2013_NODE_310_length_3806_cov_4_449987,Low coverage
BeeP-11-2013_NODE_312_length_3800_cov_9_706151,Low coverage
BeeP-11-2013_NODE_313_length_3784_cov_6_431076,Low coverage
BeeP-11-2013_NODE_314_length_3780_cov_10_328922,Low coverage
BeeP-11-2013_NODE_316_length_3768_cov_6_664048,Low coverage
BeeP-11-2013_NODE_318_length_3757_cov_8_966033,Low coverage
BeeP-11-2013_NODE_319_length_3753_cov_4_793254,Low coverage
BeeP-11-2013_NODE_320_length_3746_cov_10_900245,Low coverage
BeeP-11-2013_NODE_322_length_3737_cov_13_665027,Low coverage
BeeP-11-2013_NODE_323_length_3736_cov_8_108773,Low coverage
BeeP-11-2013_NODE_325_length_3705_cov_4_912348,Low coverage
BeeP-11-2013_NODE_326_length_3696_cov_16_290412,Low coverage
BeeP-11-2013_NODE_327_length_3695_cov_11_437811,Low coverage
BeeP-11-2013_NODE_328_length_3694_cov_17_288637,Low coverage
BeeP-11-2013_NODE_330_length_3680_cov_16_994449,Low coverage
BeeP-11-2013_NODE_331_length_3680_cov_6_187344,Low coverage
BeeP-11-2013_NODE_332_length_3672_cov_31_184979,Low coverage
BeeP-11-2013_NODE_333_length_3670_cov_6_497356,Low coverage
BeeP-11-2013_NODE_334_length_3665_cov_8_947324,Low coverage
BeeP-11-2013_NODE_335_length_3662_cov_21_033194,Low coverage
BeeP-11-2013_NODE_336_length_3658_cov_9_243787,Low coverage
BeeP-11-2013_NODE_338_length_3651_cov_7_923895,Low coverage
BeeP-11-2013_NODE_339_length_3648_cov_24_626715,Low coverage
BeeP-11-2013_NODE_340_length_3629_cov_10_329955,Low coverage
BeeP-11-2013_NODE_341_length_3617_cov_317_787288,High coverage
BeeP-11-2013_NODE_342_length_3613_cov_7_406957,Low coverage
BeeP-11-2013_NODE_343_length_3612_cov_10_531542,Low coverage
BeeP-11-2013_NODE_345_length_3590_cov_5_582408,Low coverage
BeeP-11-2013_NODE_347_length_3586_cov_7_603591,Low coverage
BeeP-11-2013_NODE_352_length_3566_cov_10_222413,Low coverage
BeeP-11-2013_NODE_353_length_3564_cov_30_796960,Low coverage
BeeP-11-2013_NODE_354_length_3564_cov_15_275022,Low coverage
BeeP-11-2013_NODE_356_length_3558_cov_8_984200,Low coverage
BeeP-11-2013_NODE_357_length_3540_cov_14_124747,Low coverage
BeeP-11-2013_NODE_358_length_3532_cov_12_371056,Low coverage
BeeP-11-2013_NODE_359_length_3521_cov_11_234030,Low coverage
BeeP-11-2013_NODE_360_length_3500_cov_9_675139,Low coverage
BeeP-11-2013_NODE_362_length_3498_cov_13_202865,Low coverage
BeeP-11-2013_NODE_363_length_3491_cov_13_305214,Low coverage
BeeP-11-2013_NODE_365_length_3478_cov_4_559835,Low coverage
BeeP-11-2013_NODE_366_length_3476_cov_9_310091,Low coverage
BeeP-11-2013_NODE_367_length_3469_cov_6_404481,Low coverage
BeeP-11-2013_NODE_368_length_3440_cov_4_057984,Low coverage
BeeP-11-2013_NODE_369_length_3431_cov_19_720632,Low coverage
BeeP-11-2013_NODE_370_length_3429_cov_28_701372,Low coverage
BeeP-11-2013_NODE_371_length_3422_cov_5_897160,Low coverage
BeeP-11-2013_NODE_372_length_3417_cov_7_749701,Low coverage
BeeP-11-2013_NODE_373_length_3412_cov_25_335532,Low coverage
BeeP-11-2013_NODE_374_length_3408_cov_19_187031,Low coverage
BeeP-11-2013_NODE_375_length_3405_cov_6_807993,Low coverage
BeeP-11-2013_NODE_376_length_3404_cov_5_399158,Low coverage
BeeP-11-2013_NODE_378_length_3374_cov_4_729451,Low coverage
BeeP-11-2013_NODE_379_length_3368_cov_16_934366,Low coverage
BeeP-11-2013_NODE_380_length_3367_cov_5_658359,Low coverage
BeeP-11-2013_NODE_381_length_3350_cov_6_611366,Low coverage
BeeP-11-2013_NODE_382_length_3349_cov_4_409230,Low coverage
BeeP-11-2013_NODE_383_length_3346_cov_9_103090,Low coverage
BeeP-11-2013_NODE_387_length_3325_cov_6_106835,Low coverage
BeeP-11-2013_NODE_388_length_3323_cov_14_558226,Low coverage
BeeP-11-2013_NODE_389_length_3323_cov_4_689464,Low coverage
BeeP-11-2013_NODE_390_length_3315_cov_6_923410,Low coverage
BeeP-11-2013_NODE_393_length_3298_cov_7_620304,Low coverage
BeeP-11-2013_NODE_394_length_3278_cov_4_594814,Low coverage
BeeP-11-2013_NODE_395_length_3267_cov_9_063323,Low coverage
BeeP-11-2013_NODE_396_length_3261_cov_100_646671,High coverage
BeeP-11-2013_NODE_397_length_3255_cov_102_383260,High coverage
BeeP-11-2013_NODE_399_length_3249_cov_3_756936,Low coverage
BeeP-11-2013_NODE_400_length_3245_cov_6_169823,Low coverage
BeeP-11-2013_NODE_401_length_3244_cov_8_162614,Low coverage
BeeP-11-2013_NODE_403_length_3235_cov_6_604813,Low coverage
BeeP-11-2013_NODE_405_length_3228_cov_11_833386,Low coverage
BeeP-11-2013_NODE_408_length_3199_cov_11_207880,Low coverage
BeeP-11-2013_NODE_409_length_3194_cov_7_043311,Low coverage
BeeP-11-2013_NODE_411_length_3185_cov_8_533140,Low coverage
BeeP-11-2013_NODE_412_length_3178_cov_5_161561,Low coverage
BeeP-11-2013_NODE_414_length_3168_cov_8_823358,Low coverage
BeeP-11-2013_NODE_415_length_3167_cov_13_751133,Low coverage
BeeP-11-2013_NODE_418_length_3147_cov_11_443322,Low coverage
BeeP-11-2013_NODE_420_length_3133_cov_14_612238,Low coverage
BeeP-11-2013_NODE_422_length_3121_cov_15_401774,Low coverage
BeeP-11-2013_NODE_425_length_3109_cov_6_474604,Low coverage
BeeP-11-2013_NODE_427_length_3105_cov_7_812748,Low coverage
BeeP-11-2013_NODE_428_length_3104_cov_6_708622,Low coverage
BeeP-11-2013_NODE_430_length_3093_cov_12_421419,Low coverage
BeeP-11-2013_NODE_431_length_3088_cov_5_705413,Low coverage
BeeP-11-2013_NODE_432_length_3072_cov_4_593322,Low coverage
BeeP-11-2013_NODE_433_length_3070_cov_7_070164,Low coverage
BeeP-11-2013_NODE_434_length_3067_cov_5_111706,Low coverage
BeeP-11-2013_NODE_436_length_3063_cov_20_592431,Low coverage
BeeP-11-2013_NODE_437_length_3060_cov_6_449547,Low coverage
BeeP-11-2013_NODE_438_length_3059_cov_16_533199,Low coverage
BeeP-11-2013_NODE_439_length_3052_cov_4_872605,Low coverage
BeeP-11-2013_NODE_440_length_3039_cov_10_168130,Low coverage
BeeP-11-2013_NODE_443_length_3032_cov_13_997631,Low coverage
BeeP-11-2013_NODE_444_length_3031_cov_6_205484,Low coverage
BeeP-11-2013_NODE_448_length_3011_cov_5_215406,Low coverage
BeeP-11-2013_NODE_449_length_3010_cov_8_382203,Low coverage
BeeP-11-2013_NODE_450_length_3009_cov_14_007844,Low coverage
BeeP-11-2013_NODE_451_length_3009_cov_10_482606,Low coverage
BeeP-11-2013_NODE_452_length_3000_cov_13_598700,Low coverage
BeeP-11-2013_NODE_454_length_2996_cov_23_368277,Low coverage
BeeP-11-2013_NODE_455_length_2992_cov_7_101887,Low coverage
BeeP-11-2013_NODE_456_length_2987_cov_5_796907,Low coverage
BeeP-11-2013_NODE_457_length_2984_cov_21_251462,Low coverage
BeeP-11-2013_NODE_460_length_2973_cov_14_817680,Low coverage
BeeP-11-2013_NODE_462_length_2963_cov_20_244976,Low coverage
BeeP-11-2013_NODE_463_length_2959_cov_18_554129,Low coverage
BeeP-11-2013_NODE_465_length_2956_cov_4_931226,Low coverage
BeeP-11-2013_NODE_466_length_2952_cov_6_193043,Low coverage
BeeP-11-2013_NODE_468_length_2950_cov_83_947790,Low coverage
BeeP-11-2013_NODE_469_length_2947_cov_6_497561,Low coverage
BeeP-11-2013_NODE_472_length_2928_cov_4_845668,Low coverage
BeeP-11-2013_NODE_473_length_2914_cov_4_971096,Low coverage
BeeP-11-2013_NODE_475_length_2909_cov_11_622881,Low coverage
BeeP-11-2013_NODE_476_length_2907_cov_10_774205,Low coverage
BeeP-11-2013_NODE_477_length_2906_cov_13_539413,Low coverage
BeeP-11-2013_NODE_478_length_2905_cov_4_568246,Low coverage
BeeP-11-2013_NODE_479_length_2896_cov_8_314651,Low coverage
BeeP-11-2013_NODE_480_length_2895_cov_4_809439,Low coverage
BeeP-11-2013_NODE_481_length_2893_cov_22_589844,Low coverage
BeeP-11-2013_NODE_482_length_2886_cov_8_196155,Low coverage
BeeP-11-2013_NODE_483_length_2883_cov_5_609408,Low coverage
BeeP-11-2013_NODE_485_length_2869_cov_5_874284,Low coverage
BeeP-11-2013_NODE_486_length_2867_cov_11_665950,Low coverage
BeeP-11-2013_NODE_487_length_2867_cov_5_481362,Low coverage
BeeP-11-2013_NODE_488_length_2866_cov_7_518465,Low coverage
BeeP-11-2013_NODE_489_length_2852_cov_4_344865,High coverage
BeeP-11-2013_NODE_491_length_2829_cov_4_044695,Low coverage
BeeP-11-2013_NODE_493_length_2819_cov_4_212983,Low coverage
BeeP-11-2013_NODE_494_length_2816_cov_45_245710,High coverage
BeeP-11-2013_NODE_495_length_2807_cov_32_030403,Low coverage
BeeP-11-2013_NODE_499_length_2790_cov_4_629930,Low coverage
BeeP-11-2013_NODE_500_length_2787_cov_20_369742,Low coverage
BeeP-11-2013_NODE_502_length_2780_cov_15_685905,Low coverage
BeeP-11-2013_NODE_503_length_2779_cov_11_716876,Low coverage
BeeP-11-2013_NODE_504_length_2779_cov_3_921910,Low coverage
BeeP-11-2013_NODE_505_length_2774_cov_27_348535,Low coverage
BeeP-11-2013_NODE_506_length_2773_cov_4_053412,Low coverage
BeeP-11-2013_NODE_507_length_2770_cov_8_394727,Low coverage
BeeP-11-2013_NODE_508_length_2766_cov_3_377464,Low coverage
BeeP-11-2013_NODE_509_length_2765_cov_8_322545,Low coverage
BeeP-11-2013_NODE_510_length_2765_cov_3_973958,Low coverage
BeeP-11-2013_NODE_515_length_2757_cov_7_158209,Low coverage
BeeP-11-2013_NODE_517_length_2750_cov_3_928171,Low coverage
BeeP-11-2013_NODE_518_length_2743_cov_21_168792,Low coverage
BeeP-11-2013_NODE_519_length_2743_cov_2_572393,Low coverage
BeeP-11-2013_NODE_520_length_2737_cov_9_221805,Low coverage
BeeP-11-2013_NODE_521_length_2737_cov_6_262030,Low coverage
BeeP-11-2013_NODE_522_length_2734_cov_10_246895,Low coverage
BeeP-11-2013_NODE_527_length_2701_cov_13_369690,Low coverage
BeeP-11-2013_NODE_528_length_2699_cov_3_697178,Low coverage
BeeP-11-2013_NODE_530_length_2691_cov_7_559296,Low coverage
BeeP-11-2013_NODE_534_length_2682_cov_7_985413,Low coverage
BeeP-11-2013_NODE_538_length_2669_cov_3_679012,Low coverage
BeeP-11-2013_NODE_539_length_2667_cov_7_668726,Low coverage
BeeP-11-2013_NODE_540_length_2667_cov_5_708108,Low coverage
BeeP-11-2013_NODE_542_length_2662_cov_6_427079,Low coverage
BeeP-11-2013_NODE_543_length_2661_cov_6_208204,Low coverage
BeeP-11-2013_NODE_544_length_2656_cov_10_784800,Low coverage
BeeP-11-2013_NODE_546_length_2644_cov_20_125049,Low coverage
BeeP-11-2013_NODE_548_length_2636_cov_7_303243,Low coverage
BeeP-11-2013_NODE_555_length_2611_cov_87_425414,High coverage
BeeP-11-2013_NODE_557_length_2609_cov_6_201027,Low coverage
BeeP-11-2013_NODE_559_length_2608_cov_5_647570,Low coverage
BeeP-11-2013_NODE_560_length_2603_cov_3_760887,Low coverage
BeeP-11-2013_NODE_561_length_2600_cov_5_733254,Low coverage
BeeP-11-2013_NODE_563_length_2594_cov_13_753278,Low coverage
BeeP-11-2013_NODE_565_length_2591_cov_3_294352,Low coverage
BeeP-11-2013_NODE_566_length_2585_cov_4_450159,Low coverage
BeeP-11-2013_NODE_567_length_2583_cov_3_233839,Low coverage
BeeP-11-2013_NODE_568_length_2582_cov_4_221956,Low coverage
BeeP-11-2013_NODE_569_length_2581_cov_10_360224,Low coverage
BeeP-11-2013_NODE_570_length_2579_cov_9_296163,Low coverage
BeeP-11-2013_NODE_578_length_2542_cov_22_372819,Low coverage
BeeP-11-2013_NODE_579_length_2542_cov_4_988235,Low coverage
BeeP-11-2013_NODE_580_length_2542_cov_3_722921,Low coverage
BeeP-11-2013_NODE_582_length_2538_cov_5_330760,Low coverage
BeeP-11-2013_NODE_583_length_2537_cov_5_189431,Low coverage
BeeP-11-2013_NODE_585_length_2534_cov_18_272283,Low coverage
BeeP-11-2013_NODE_587_length_2529_cov_14_360522,Low coverage
BeeP-11-2013_NODE_588_length_2526_cov_10_241731,Low coverage
BeeP-11-2013_NODE_590_length_2524_cov_5_387822,Low coverage
BeeP-11-2013_NODE_591_length_2521_cov_4_062602,Low coverage
BeeP-11-2013_NODE_592_length_2518_cov_6_502663,Low coverage
BeeP-11-2013_NODE_594_length_2509_cov_5_111431,Low coverage
BeeP-11-2013_NODE_595_length_2496_cov_4_357172,Low coverage
BeeP-11-2013_NODE_597_length_2481_cov_4_193844,Low coverage
BeeP-11-2013_NODE_598_length_2477_cov_3_377917,Low coverage
BeeP-11-2013_NODE_600_length_2468_cov_3_667921,Low coverage
BeeP-11-2013_NODE_601_length_2466_cov_11_484303,Low coverage
BeeP-11-2013_NODE_606_length_2440_cov_6_851883,Low coverage
BeeP-11-2013_NODE_607_length_2439_cov_9_553345,Low coverage
BeeP-11-2013_NODE_608_length_2434_cov_4_141706,Low coverage
BeeP-11-2013_NODE_610_length_2432_cov_10_086624,Low coverage
BeeP-11-2013_NODE_612_length_2428_cov_11_894513,Low coverage
BeeP-11-2013_NODE_613_length_2426_cov_4_965517,Low coverage
BeeP-11-2013_NODE_615_length_2421_cov_11_584471,Low coverage
BeeP-11-2013_NODE_616_length_2420_cov_14_163892,Low coverage
BeeP-11-2013_NODE_618_length_2415_cov_5_467494,Low coverage
BeeP-11-2013_NODE_623_length_2398_cov_12_193451,Low coverage
BeeP-11-2013_NODE_624_length_2397_cov_11_342241,Low coverage
BeeP-11-2013_NODE_626_length_2395_cov_2_443486,Low coverage
BeeP-11-2013_NODE_630_length_2385_cov_4_912478,Low coverage
BeeP-11-2013_NODE_638_length_2380_cov_7_422492,Low coverage
BeeP-11-2013_NODE_639_length_2380_cov_3_273556,Low coverage
BeeP-11-2013_NODE_640_length_2374_cov_6_364824,Low coverage
BeeP-11-2013_NODE_642_length_2369_cov_8_392234,Low coverage
BeeP-11-2013_NODE_644_length_2366_cov_17_294015,Low coverage
BeeP-11-2013_NODE_645_length_2360_cov_3_509855,Low coverage
BeeP-11-2013_NODE_646_length_2359_cov_13_814636,Low coverage
BeeP-11-2013_NODE_649_length_2355_cov_4_633011,Low coverage
BeeP-11-2013_NODE_650_length_2352_cov_9_153846,Low coverage
BeeP-11-2013_NODE_651_length_2352_cov_7_091429,Low coverage
BeeP-11-2013_NODE_652_length_2352_cov_5_152527,Low coverage
BeeP-11-2013_NODE_653_length_2346_cov_11_462318,Low coverage
BeeP-11-2013_NODE_654_length_2346_cov_4_098281,Low coverage
BeeP-11-2013_NODE_656_length_2343_cov_14_748455,Low coverage
BeeP-11-2013_NODE_657_length_2342_cov_9_038411,Low coverage
BeeP-11-2013_NODE_658_length_2341_cov_6_195230,Low coverage
BeeP-11-2013_NODE_659_length_2336_cov_5_895529,Low coverage
BeeP-11-2013_NODE_662_length_2333_cov_20_560284,Low coverage
BeeP-11-2013_NODE_663_length_2331_cov_5_246229,Low coverage
BeeP-11-2013_NODE_666_length_2325_cov_16_646352,Low coverage
BeeP-11-2013_NODE_674_length_2308_cov_8_073958,Low coverage
BeeP-11-2013_NODE_675_length_2308_cov_4_163604,Low coverage
BeeP-11-2013_NODE_676_length_2302_cov_4_266517,Low coverage
BeeP-11-2013_NODE_677_length_2301_cov_16_368705,Low coverage
BeeP-11-2013_NODE_678_length_2301_cov_5_570594,Low coverage
BeeP-11-2013_NODE_686_length_2277_cov_5_814091,Low coverage
BeeP-11-2013_NODE_687_length_2271_cov_5_753874,Low coverage
BeeP-11-2013_NODE_690_length_2254_cov_4_601286,Low coverage
BeeP-11-2013_NODE_692_length_2251_cov_16_841766,Low coverage
BeeP-11-2013_NODE_693_length_2251_cov_8_477001,Low coverage
BeeP-11-2013_NODE_694_length_2247_cov_3_858065,Low coverage
BeeP-11-2013_NODE_697_length_2245_cov_54_110240,Low coverage
BeeP-11-2013_NODE_698_length_2245_cov_7_656365,Low coverage
BeeP-11-2013_NODE_699_length_2245_cov_3_728321,Low coverage
BeeP-11-2013_NODE_700_length_2243_cov_5_656048,Low coverage
BeeP-11-2013_NODE_701_length_2241_cov_9_664972,Low coverage
BeeP-11-2013_NODE_704_length_2234_cov_3_531293,Low coverage
BeeP-11-2013_NODE_705_length_2232_cov_6_945244,Low coverage
BeeP-11-2013_NODE_706_length_2231_cov_6_099814,Low coverage
BeeP-11-2013_NODE_714_length_2220_cov_8_166122,Low coverage
BeeP-11-2013_NODE_715_length_2219_cov_3_716153,Low coverage
BeeP-11-2013_NODE_720_length_2211_cov_9_133083,Low coverage
BeeP-11-2013_NODE_722_length_2210_cov_4_060478,Low coverage
BeeP-11-2013_NODE_723_length_2207_cov_14_819718,Low coverage
BeeP-11-2013_NODE_724_length_2206_cov_22_169563,Low coverage
BeeP-11-2013_NODE_726_length_2204_cov_7_047955,Low coverage
BeeP-11-2013_NODE_727_length_2201_cov_6_105461,Low coverage
BeeP-11-2013_NODE_728_length_2200_cov_13_693829,Low coverage
BeeP-11-2013_NODE_729_length_2200_cov_5_716910,Low coverage
BeeP-11-2013_NODE_732_length_2196_cov_3_410571,Low coverage
BeeP-11-2013_NODE_734_length_2193_cov_9_637996,Low coverage
BeeP-11-2013_NODE_735_length_2191_cov_3_780038,Low coverage
BeeP-11-2013_NODE_739_length_2184_cov_10_255339,Low coverage
BeeP-11-2013_NODE_740_length_2183_cov_15_944444,Low coverage
BeeP-11-2013_NODE_741_length_2180_cov_6_702330,Low coverage
BeeP-11-2013_NODE_742_length_2178_cov_6_310328,Low coverage
BeeP-11-2013_NODE_743_length_2176_cov_3_672225,Low coverage
BeeP-11-2013_NODE_744_length_2174_cov_4_005246,Low coverage
BeeP-11-2013_NODE_746_length_2170_cov_21_344482,Low coverage
BeeP-11-2013_NODE_747_length_2164_cov_25_391950,Low coverage
BeeP-11-2013_NODE_749_length_2162_cov_12_010552,Low coverage
BeeP-11-2013_NODE_752_length_2153_cov_25_530347,Low coverage
BeeP-11-2013_NODE_753_length_2153_cov_14_392100,Low coverage
BeeP-11-2013_NODE_756_length_2150_cov_14_592378,High coverage
BeeP-11-2013_NODE_757_length_2145_cov_3_813830,Low coverage
BeeP-11-2013_NODE_760_length_2138_cov_7_729258,Low coverage
BeeP-11-2013_NODE_761_length_2136_cov_5_502186,Low coverage
BeeP-11-2013_NODE_762_length_2131_cov_3_214216,Low coverage
BeeP-11-2013_NODE_764_length_2126_cov_4_401171,Low coverage
BeeP-11-2013_NODE_767_length_2123_cov_8_083578,Low coverage
BeeP-11-2013_NODE_768_length_2123_cov_7_493646,Low coverage
BeeP-11-2013_NODE_769_length_2123_cov_4_091398,Low coverage
BeeP-11-2013_NODE_770_length_2121_cov_7_782779,Low coverage
BeeP-11-2013_NODE_771_length_2121_cov_6_082192,Low coverage
BeeP-11-2013_NODE_773_length_2120_cov_4_166422,Low coverage
BeeP-11-2013_NODE_777_length_2115_cov_10_275270,Low coverage
BeeP-11-2013_NODE_780_length_2099_cov_10_764095,Low coverage
BeeP-11-2013_NODE_781_length_2098_cov_7_225631,Low coverage
BeeP-11-2013_NODE_782_length_2098_cov_5_338941,Low coverage
BeeP-11-2013_NODE_786_length_2089_cov_6_045726,Low coverage
BeeP-11-2013_NODE_788_length_2088_cov_3_894083,Low coverage
BeeP-11-2013_NODE_789_length_2087_cov_11_081095,Low coverage
BeeP-11-2013_NODE_796_length_2079_cov_26_936064,Low coverage
BeeP-11-2013_NODE_800_length_2075_cov_4_900400,Low coverage
BeeP-11-2013_NODE_801_length_2074_cov_7_804707,High coverage
BeeP-11-2013_NODE_802_length_2074_cov_4_787181,Low coverage
BeeP-11-2013_NODE_804_length_2073_cov_11_478457,Low coverage
BeeP-11-2013_NODE_807_length_2068_cov_5_351582,Low coverage
BeeP-11-2013_NODE_809_length_2064_cov_3_304479,Low coverage
BeeP-11-2013_NODE_812_length_2060_cov_3_923853,Low coverage
BeeP-11-2013_NODE_813_length_2059_cov_6_875883,Low coverage
BeeP-11-2013_NODE_815_length_2057_cov_3_694444,Low coverage
BeeP-11-2013_NODE_817_length_2051_cov_6_782168,Low coverage
BeeP-11-2013_NODE_818_length_2051_cov_1_786727,Low coverage
BeeP-11-2013_NODE_822_length_2047_cov_38_704569,Low coverage
BeeP-11-2013_NODE_823_length_2047_cov_5_894416,Low coverage
BeeP-11-2013_NODE_825_length_2045_cov_6_424289,Low coverage
BeeP-11-2013_NODE_826_length_2043_cov_8_459308,High coverage
BeeP-11-2013_NODE_827_length_2042_cov_8_585751,Low coverage
BeeP-11-2013_NODE_831_length_2035_cov_7_500511,Low coverage
BeeP-11-2013_NODE_835_length_2022_cov_20_264267,Low coverage
BeeP-11-2013_NODE_837_length_2020_cov_5_960885,Low coverage
BeeP-11-2013_NODE_838_length_2019_cov_25_877961,Low coverage
BeeP-11-2013_NODE_842_length_2013_cov_9_751033,Low coverage
BeeP-11-2013_NODE_843_length_2012_cov_4_871318,Low coverage
BeeP-11-2013_NODE_844_length_2011_cov_5_579111,Low coverage
BeeP-11-2013_NODE_845_length_2008_cov_7_441740,Low coverage
BeeP-11-2013_NODE_846_length_2007_cov_15_003109,Low coverage
BeeP-11-2013_NODE_847_length_2006_cov_6_213582,Low coverage
BeeP-11-2013_NODE_850_length_2001_cov_17_765593,Low coverage
BeeP-11-2013_NODE_851_length_1998_cov_20_930245,Low coverage
BeeP-11-2013_NODE_854_length_1995_cov_3_694473,Low coverage
BeeP-11-2013_NODE_856_length_1992_cov_525_902350,High coverage
BeeP-11-2013_NODE_857_length_1992_cov_6_365535,Low coverage
BeeP-11-2013_NODE_861_length_1986_cov_15_337873,Low coverage
BeeP-11-2013_NODE_863_length_1983_cov_6_746590,Low coverage
BeeP-11-2013_NODE_864_length_1982_cov_6_758530,Low coverage
BeeP-11-2013_NODE_866_length_1979_cov_3_248160,Low coverage
BeeP-11-2013_NODE_870_length_1976_cov_4_346498,Low coverage
BeeP-11-2013_NODE_872_length_1973_cov_5_045886,Low coverage
BeeP-11-2013_NODE_874_length_1967_cov_8_874074,Low coverage
BeeP-11-2013_NODE_876_length_1964_cov_8_722840,Low coverage
BeeP-11-2013_NODE_881_length_1955_cov_11_719915,Low coverage
BeeP-11-2013_NODE_883_length_1952_cov_7_124800,Low coverage
BeeP-11-2013_NODE_885_length_1950_cov_11_477309,Low coverage
BeeP-11-2013_NODE_886_length_1949_cov_6_331731,Low coverage
